"zybook_identifier","chapter_number","chapter_title","section_number","section_title","classification","target_week_or_topic","reason","dependency_note"
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.11","1.11 Additional practice: Output art","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.12","1.12 zyLab training: Basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.13","1.13 zyLab training: Interactive console","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.14","1.14 LAB: Formatted output: Hello World!","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.15","1.15 LAB: Formatted output: No parking sign","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.16","1.16 LAB: Input: Welcome message","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.17","1.17 LAB: Input: Mad Lib","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.18","1.18 zyLab training*: One large program","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.19","1.19 zyLab training: Output format errors in Pluto.py","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.20","1.20 zyLab training: Logic errors in Kite.py","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","1","1. Introduction to Python","1.21","1.21 zyLab training: Syntax errors in Baseball.py","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.1","2.1 Variables and assignments","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.2","2.2 Identifiers","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.3","2.3 Objects","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.4","2.4 Numeric types: Floating-point","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.5","2.5 Arithmetic expressions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.6","2.6 Python expressions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.7","2.7 Division and modulo","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.8","2.8 Module basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.9","2.9 Math module","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.10","2.10 Random numbers","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.11","2.11 Representing text","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.12","2.12 Style guidelines","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.13","2.13 Additional practice: Number games","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.14","2.14 LAB: Divide input integers","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.15","2.15 LAB: Driving costs","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.16","2.16 LAB: Expression for calories burned during workout","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.17","2.17 LAB: Using math functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.18","2.18 LAB: Musical note frequencies","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","2","2. Variables and Expressions","2.19","2.19 LAB: Convert to dollars","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.1","3.1 String basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.2","3.2 List basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.3","3.3 Tuple basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.4","3.4 Set basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.5","3.5 Dictionary basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.6","3.6 Common data types summary","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.7","3.7 Additional practice: Grade calculation","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.8","3.8 Type conversions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.9","3.9 Binary numbers","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.10","3.10 String formatting","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.11","3.11 Additional practice: Health data","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.12","3.12 LAB: Input and formatted output: Right-facing arrow","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.13","3.13 LAB: Phone number breakdown","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.14","3.14 LAB: Input and formatted output: Caffeine levels","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.15","3.15 LAB: Input and formatted output: House real estate summary","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.16","3.16 LAB: Simple statistics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.17","3.17 LAB: List basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","3","3. Types","3.18","3.18 LAB: Set basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.1","4.1 If-else branches (general)","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.2","4.2 Detecting equal values with branches","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.3","4.3 Detecting ranges with branches (general)","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.4","4.4 Detecting ranges with branches","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.5","4.5 Detecting ranges using logical operators","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.6","4.6 Detecting ranges with gaps","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.7","4.7 Detecting multiple features with branches","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.8","4.8 Comparing data types and common errors","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.9","4.9 Membership and identity operators","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.10","4.10 Order of evaluation","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.11","4.11 Code blocks and indentation","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.12","4.12 Conditional expressions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.13","4.13 Additional practice: Abbreviation decoder","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.14","4.14 LAB: Smallest number","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.15","4.15 LAB: Interstate highway numbers","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.16","4.16 LAB: Seasons","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.17","4.17 LAB: Exact change","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.18","4.18 LAB: Leap year","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","4","4. Branching","4.19","4.19 LAB: Golf scores","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.1","5.1 Loops (general)","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.2","5.2 While loops","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.3","5.3 More while loop examples","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.4","5.4 Counting","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.5","5.5 For loops","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.6","5.6 Counting using the range() function","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.7","5.7 While vs. for loops","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.8","5.8 Nested loops","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.9","5.9 Developing programs incrementally","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.10","5.10 Break and continue","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.11","5.11 Loop else","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.12","5.12 Getting both index and value when looping: enumerate()","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.13","5.13 Additional practice: Dice statistics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.14","5.14 LAB: Convert to reverse binary","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.15","5.15 LAB: Password modifier","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.16","5.16 LAB: Output range with increment of 5","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.17","5.17 LAB: Print string in reverse","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.18","5.18 LAB: Brute force equation solver","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","5","5. Loops","5.19","5.19 LAB: Adjust values in a list by normalizing","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.1","6.1 User-defined function basics","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.2","6.2 Print functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.3","6.3 Dynamic typing","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.4","6.4 Reasons for defining functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.5","6.5 Writing mathematical functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.6","6.6 Function stubs","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.7","6.7 Functions with branches/loops","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.8","6.8 Functions are objects","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.9","6.9 Functions: Common errors","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.10","6.10 Scope of variables and functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.11","6.11 Namespaces and scope resolution","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.12","6.12 Function arguments","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.13","6.13 Keyword arguments and default parameter values","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.14","6.14 Arbitrary argument lists","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.15","6.15 Multiple function outputs","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.16","6.16 Help! Using docstrings to document functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.17","6.17 Engineering examples","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.18","6.18 zyLab training: Unit tests to evaluate your program","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.19","6.19 LAB: Driving costs - functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.20","6.20 LAB: Step counter","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.21","6.21 LAB: Convert to binary - functions","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.22","6.22 LAB: Swapping variables","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","6","6. Functions","6.23","6.23 LAB: Fibonacci sequence","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","7","7. Strings","7.1","7.1 String slicing","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","7","7. Strings","7.2","7.2 Advanced string formatting","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","7","7. Strings","7.3","7.3 String methods","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","7","7. Strings","7.4","7.4 Splitting and joining strings","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
"SWOSUCOMSC1053ZacharyFall2026","7","7. Strings","7.5","7.5 LAB: Checker for integer string","UNUSED","","CS1 prerequisite/repetition or extra-bank content; preserve student time for CS2 depth.","Assumed COMSC-1033 prerequisite."
